Number of Relations,Problem Subtype,Structure,Stimulus Name,Correct Answer,% Correct in Norming Study
One Relation,Shape,A1,A1_1,6,1
One Relation,Shape,A1,A1_2,3,0.75
One Relation,Shape,A1,A1_3,7,1
One Relation,Shape,A1,A1_4,1,1
One Relation,Shape,A2,A2_1,5,1
One Relation,Shape,A2,A2_2,4,1
One Relation,Shape,A2,A2_3,1,0.75
One Relation,Shape,A2,A2_4,4,1
One Relation,Shape,A3,A3_1,3,1
One Relation,Shape,A3,A3_2,7,1
One Relation,Shape,A3,A3_3,6,0.25
One Relation,Shape,A3,A3_4,4,1
One Relation,Shape,A4,A4_1,2,0.75
One Relation,Shape,A4,A4_1,1,0.75
One Relation,Shape,A4,A4_2,3,1
One Relation,Shape,A4,A4_3,1,1
One Relation,Shading,B1,B1_1,3,0.75
One Relation,Shading,B1,B1_2,2,1
One Relation,Shading,B1,B1_3,8,1
One Relation,Shading,B1,B1_4,6,1
One Relation,Shading,B2,B2_1,8,1
One Relation,Shading,B2,B2_2,3,1
One Relation,Shading,B2,B2_3,1,1
One Relation,Shading,B2,B2_4,2,1
One Relation,Shading,B3,B3_1,7,1
One Relation,Shading,B3,B3_2,1,1
One Relation,Shading,B3,B3_3,3,1
One Relation,Shading,B3,B3_4,7,1
One Relation,Shading,B4,B4_1,4,1
One Relation,Shading,B4,B4_2,4,1
One Relation,Shading,B4,B4_3,1,1
One Relation,Shading,B4,B4_4,4,0.75
One Relation,Shading,B5,B5_1,4,0.25
One Relation,Shading,B5,B5_2,7,0.5
One Relation,Shading,B5,B5_3,3,0
One Relation,Shading,B5,B5_4,6,0.75
One Relation,Orientation,C1,C1_1,5,1
One Relation,Orientation,C1,C1_2,4,1
One Relation,Orientation,C1,C1_3,1,0.75
One Relation,Orientation,C1,C1_4,4,1
One Relation,Orientation,C2,C2_1,5,1
One Relation,Orientation,C2,C2_2,3,1
One Relation,Orientation,C2,C2_3,2,0.75
One Relation,Orientation,C2,C2_4,8,1
One Relation,Orientation,C3,C3_1,7,0.5
One Relation,Orientation,C3,C3_2,4,0.75
One Relation,Orientation,C3,C3_3,7,0.75
One Relation,Orientation,C3,C3_4,3,1
One Relation,Orientation,C4,C4_1,8,0.75
One Relation,Orientation,C4,C4_2,3,1
One Relation,Orientation,C4,C4_3,1,0.75
One Relation,Orientation,C4,C4_4,2,1
One Relation,Orientation,C5,C5_1,7,0.5
One Relation,Orientation,C5,C5_2,1,0.75
One Relation,Orientation,C5,C5_3,3,1
One Relation,Orientation,C5,C5_4,7,0.5
One Relation,Size,D1,D1_1,8,1
One Relation,Size,D1,D1_2,3,1
One Relation,Size,D1,D1_3,1,1
One Relation,Size,D1,D1_4,2,0.75
One Relation,Size,D2,D2_1,7,1
One Relation,Size,D2,D2_2,1,1
One Relation,Size,D2,D2_3,3,0.75
One Relation,Size,D2,D2_4,7,1
One Relation,Size,D3,D3_1,7,0.75
One Relation,Size,D3,D3_2,5,1
One Relation,Size,D3,D3_3,3,1
One Relation,Size,D3,D3_4,2,1
One Relation,Size,D4,D4_1,8,0.75
One Relation,Size,D4,D4_2,5,0.5
One Relation,Size,D4,D4_3,4,0.75
One Relation,Size,D4,D4_4,1,1
One Relation,Size,D5,D5_1,6,0.75
One Relation,Size,D5,D5_2,4,0.75
One Relation,Size,D5,D5_3,7,0.75
One Relation,Size,D5,D5_4,3,0.75
One Relation,Number,E1,E1_1,8,0.75
One Relation,Number,E1,E1_2,5,0.75
One Relation,Number,E1,E1_3,4,1
One Relation,Number,E1,E1_4,1,1
One Relation,Number,E2,E2_1,6,1
One Relation,Number,E2,E2_2,4,1
One Relation,Number,E2,E2_3,7,1
One Relation,Number,E2,E2_4,3,0.75
One Relation,Number,E3,E3_1,8,1
One Relation,Number,E3,E3_2,3,1
One Relation,Number,E3,E3_3,1,0.75
One Relation,Number,E3,E3_4,2,1
One Relation,Number,E4,E4_1,8,1
One Relation,Number,E4,E4_2,7,1
One Relation,Number,E4,E4_3,5,0.75
One Relation,Number,E4,E4_4,3,1
One Relation,Number,E5,E5_1,2,0.75
One Relation,Number,E5,E5_2,7,0.75
One Relation,Number,E5,E5_3,1,1
One Relation,Number,E5,E5_4,3,0.75
